Handle,Command,Title,Author,Body HTML,Summary HTML,Tags,Tags Command,Published,Published At,Image Src,Image Alt Text,Blog: Handle,Metafield: sga.thumbnail [file_reference],Metafield: sga.total_time_minutes [number_integer],Metafield: sga.servings [number_integer],Metafield: sga.dietary [list.single_line_text_field],Metafield: sga.main_product [product_reference],Metafield: sga.related_products [list.product_reference],Metafield: sga.related_articles [list.article_reference],Metafield: sga.you_might_also_like [list.article_reference],Metafield: sga.you_might_also_like_heading [single_line_text_field],Metafield: sga.related_products_heading [single_line_text_field],Metafield: sga.ingredients [list.single_line_text_field],Metafield: sga.ingredient_products [list.product_reference],Metafield: sga.eyebrow [single_line_text_field],Metafield: sga.serving_tip [single_line_text_field],Metafield: sga.difficulty [single_line_text_field],Metafield: sga.instructions [list.single_line_text_field]
chrestove-rizoto,MERGE,Chřestové rizoto,Sonnentor,,s osvěžujícím kořením,"Jaro, Sv. Hildegarda z Bingenu, Rychlá kuchyně",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36480/image-thumb__36480__thumb-slider/chrestove-rizoto.02343761.jpg,Chřestové rizoto,recipes,chrestove-rizoto-thumb.jpg,35,2,"vegetariánské, bez lepku",,,,"polevka-z-korenove-zeleniny, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, orientalni-ledovy-caj, orientalni-cizrnovy-gulas-s-datlemi, wongovy-ryzove-karbanatky, nakladane-ostruziny","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""160|g|rýže na rizoto"",""1|ks|jarní cibulky"",""||troška bílého vína"",""500|ml|vývaru (zeleninového, kuřecího,...)"",""30|g|čerstvého kozího sýru"",""30|g|strouhaného parmazánu"",""30|g|másla"",""1||svazek pažitky"",""200|g|zeleného chřestu""]","ayurvedska-kouzelna-sul-jemna-konv-150g, andel-strazny-smes-kvetu-a-koreni-bio-40g, pepr-cerny-bio-mlety-50g",Recept,,,"[""Jarní cibulku nakrájejte najemno a poduste na másle. Přidejte rýži a orestujte dosklovata. Zalejte bílým vínem, povařte a lehce osolte. Za stálého míchání přidávejte po troškách vývar, dokud není rýže měkká (15–20 minut). 3 minutky před dovařením přidejte chřest nakrájený na kousky. Dochuťte solí a pepřem Nakonec přidejte nastrouhaný parmezán, kozí sýr, máslo, najemno nasekanou pažitku a zamíchejte. Dochuťte kořením Anděl strážný. Ještě chvíli povařte a servírujte.""]"
pesto-z-medvediho-cesneku,MERGE,Pesto z medvědího česneku,Sonnentor,,Vynikající pesto z divokého česneku.,"Rychlá kuchyně, Divoké bylinky, Jaro, Nakládání & zavařování, Pomazánky & dresinky",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36481/image-thumb__36481__thumb-slider/pesto-z-medvediho-cesneku.96d75306.jpg,Pesto z medvědího česneku,recipes,pesto-z-medvediho-cesneku-thumb.jpg,10,2,"vegetariánské, bez lepku",,,,"polevka-z-korenove-zeleniny, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, orientalni-ledovy-caj, wongovy-ryzove-karbanatky, nakladane-ostruziny, boruvkovy-kolac-peceny-v-hrnku","Recepty, které by vám také mohly chutnat",,"[""270|g|čerstvého medvědího česneku"",""40|g|slunečnicových semínek (nebo jiných oříšků)"",""30|g|strouhaného parmazánu"",""270|ml|olivového oleje""]",ayurvedska-kouzelna-sul-jemna-konv-150g,Recept,V dobře uzavřené sklenici vydrží pesto v ledničce až tři týdny.,,"[""Medvědí česnek umyjte a nakrájejte na hrubší kousky. Parmezán nastrouhejte. Všechny přísady (bez oleje) rozmačkejte v hmoždíři (nebo kuchyňském robotu), pak pomalu přidávejte olej. Nakonec dochuťte solí. Pesto můžete podávat s gnocchi nebo s čerstvým pečivem.""]"
koprivove-pesto,MERGE,Kopřivové pesto,Sonnentor,,Pesto se spoustou vitamínů a minerálů!,"Divoké bylinky, Nakládání & zavařování, Léto, Pomazánky & dresinky",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36482/image-thumb__36482__thumb-slider/koprivove-pesto.3874ffb1.jpg,Kopřivové pesto,recipes,koprivove-pesto-thumb.jpg,10,2,"vegetariánské, bez lepku",,,,"lososovy-pstruh-peceny-v-troube, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, kouzelna-cokoladova-pena, orientalni-ledovy-caj, knedliky, nakladane-ostruziny, boruvkovy-kolac-peceny-v-hrnku, grilovane-vege-dobrutky","Recepty, které by vám také mohly chutnat",,"[""500|g|pár lístků čerstvé kopřivy (nemusí být)"",""3|ks|stroužků česneku."",""100|g|strouhaného parmazánu"",""300|ml|olivového oleje""]",ayurvedska-kouzelna-sul-jemna-konv-150g,Recept,,,"[""Kopřivu umyjte, osušte a nakrájejte na menší kousky. Přidejte zbývající suroviny a rozmixujte v mixéru."",""Dejte do uzavíratelné sklenice a skladujte v lednici. Vydrží 2-3 týdny.""]"
energie-jogurtovy-dip,MERGE,Energie – jogurtový dip,Sonnentor,,Pochoutka plná energie.,"grilování, Rychlá kuchyně, Koření - květy, Piknik, Jednohubky, Omáčky & dipy, Pomazánky & dresinky",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36483/image-thumb__36483__thumb-slider/energie---jogurtovy-dip.680538c4.jpg,Energie – jogurtový dip,recipes,energie-jogurtovy-dip-thumb.jpg,5,2,"vegetariánské, bez lepku",,,,"cokoladove-grissini, polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena, orientalni-ledovy-caj","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""200|g|skyru""]","ayurvedska-kouzelna-sul-jemna-konv-150g, energie-smes-kvetu-a-koreni-bio-30g, paprika-sladka-bio-mleta-50g",Recept,"Užijte si pikantní čerstvé dipy se sýrem při grilování, nebo s křupavými špaldovými tyčinkami.",,"[""K jogurtu přidejte půl lžičky soli, dvě lžičky Energie, půl lžičky papriky, dobře smíchejte a ještě dozdobte kořením Energie.""]"
cherry-rajcatka-v-oleji,MERGE,Cherry rajčátka v oleji,Sonnentor,,Středomořská klasika,"Rychlá kuchyně, Nakládání & zavařování, Léto, Vegetariánské & saláty, grilování",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36487/image-thumb__36487__thumb-slider/cherry-rajcatka-v-oleji.cea4a178.jpg,Cherry rajčátka v oleji,recipes,cherry-rajcatka-v-oleji-thumb.jpg,5,1,"vegetariánské, bez lepku",,,,"polevka-z-korenove-zeleniny, lososovy-pstruh-peceny-v-troube, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena, orientalni-ledovy-caj, knedliky","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""200|g|cherry rajčat"",""100|g|mini mozzarelek"",""2|stroužky|česneku"",""200|ml|olivového oleje""]","koreni-na-letni-zeleninu-bio-35-g, ayurvedska-kouzelna-sul-jemna-konv-150g, pepr-cerny-bio-mlety-50g",Recept,"Pokud máte rádi ostré, můžete do sklenic přidat malou chilli papričku.",,"[""Umyté rajčátka a mozzarellové kuličky dejte do zavařovacích skleniček. Česnek nakrájejte nadrobno a dejte do sklenic společně s nasekaným tymiánem, kuličkami pepře a solí. Sklenice zalejte olivovým olejem.""]"
nakladana-cuketa,MERGE,Nakládaná cuketa,Sonnentor,,"Výborná příloha ke grilovaným pokrmům. Podle sezóny můžete naložit například i dýni, pastinák apod.","Veganské, Rychlá kuchyně, zelenina, Nakládání & zavařování",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/97710/image-thumb__97710__thumb-slider/pickled-zucchini.3fd3d6dc.jpg,Nakládaná cuketa,recipes,nakladana-cuketa-thumb.jpg,15,1,"vegetariánské, veganské, bez lepku, bez laktózy",,,,"polevka-z-korenove-zeleniny, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, filety-ze-sivena-se-zeleninou-a-ruzovymi-poupaty, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, orientalni-ledovy-caj, wongovy-ryzove-karbanatky, nakladane-ostruziny","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""1|kg|cukety"",""150|g|šalotky"",""200|g|mrkve"",""100|g|řapíkatého celeru"",""5|stroužků|česneku"",""1|l|jablečného octu"",""0.5|l|vody"",""1|lžíce|Agáve sirupu""]","koreni-na-nakladani-bio-65-g, ayurvedska-kouzelna-sul-jemna-konv-150g",Recept,,,"[""Cukety, mrkev a celer omyjte, osušte a nakrájejte na kostičky. Šalotku a česnek oloupejte a nakrájejte na čtvrtky. V hrnci svařte vodu s octem a nakládacím kořením. Přidejte šalotku, mrkev, celer a česnek a povařte ještě 2 minuty. Ke konci přidejte cuketu a vařte 1 minutu. Uvařenou zeleninu přendejte do zavařovacích sklenic, zalejte nálevem a ještě horké zavírejte víčky.""]"
veganske-chilli-sin-carne,MERGE,Veganské Chilli sin Carne,Sonnentor,,s kořením Chilli con Carne dona Rodrigueze,Svačina,REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36490/image-thumb__36490__thumb-slider/veganske-chilli-sin-carne.7b5a81a1.jpg,Veganské Chilli sin Carne,recipes,veganske-chilli-sin-carne-thumb.jpg,60,4,"vegetariánské, veganské, bez lepku, bez laktózy",,,,"cokoladove-grissini, pulmesicky-vsechno-nejmilejsi, nakladane-ostruziny, bylinkova-pomazanka-nebo-dip, pernickova-granola, pralinkovy-krem, vavrincuv-sladky-popcorn, raraskovy-vafle","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""1||cibule"",""1||česneku"",""||olivového oleje"",""||brambory"",""125|ml|vody"",""||konzervy propasírovaných rajčat"",""250|g|uvařené cizrny"",""1|ks|zelené papriky"",""2||mrkve"",""||konzervy kukuřice"",""||konzervy červených fazolí""]","ayurvedska-kouzelna-sul-jemna-konv-150g, chili-con-carne-dona-rodrigueze-bio-40g",Recept,"Pokud je pokrm příliš pikantní, přidejte 150–200 g hořké čokolády nebo stejné množství zakysané smetany.",,"[""Cibuli nakrájenou nadrobno osmažte společně s česnekem do zlatova. Přidejte na kostičky nakrájené brambory a krátce orestujte cca 5 minut. Přidejte lžičku soli a dobře promíchejte. Mezitím smíchejte 1/2 lžičky koření Chilli con Carne s 350 ml vody a 8 lžícemi pasírovaných rajčat. K bramborám přidejte cizrnu a restujte ještě 2 minuty. Vše podlejte vodou s kořením a vařte cca 15 minut na mírném ohni. Přidejte zeleninu a vařte dalších 15 minut. Na závěr přidejte ještě fazole a poduste dalších 10 minut.""]"
andelsky-jogurtovy-dip,MERGE,Andělský jogurtový dip,Sonnentor,,Směs květů a koření Anděl strážný dodává tomuto dipu letní svěžest.,"Snídaně, grilování, Rychlá kuchyně, Piknik, Koření - květy, Omáčky & dipy, Pomazánky & dresinky",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36491/image-thumb__36491__thumb-slider/andelsky-jogurtovy-dip.e99dad01.jpg,Andělský jogurtový dip,recipes,andelsky-jogurtovy-dip-thumb.jpg,5,2,"vegetariánské, bez lepku",,,,"cokoladove-grissini, polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena, orientalni-ledovy-caj","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""200|g|skyru""]","andel-strazny-smes-kvetu-a-koreni-bio-40g, ayurvedska-kouzelna-sul-jemna-konv-150g",Recept,,,"[""Jogurt smíchejte s kořením a solí dle chuti."",""Na závěr dozdobte kořením Anděl strážný.""]"
hummus,MERGE,Krémový hummus,Sonnentor,,Orientální specialita.,"S sebou, Piknik, Snídaně",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36492/image-thumb__36492__thumb-slider/hummus.fc7c5afb.jpg,Krémový hummus,recipes,hummus-thumb.jpg,60,2,"vegetariánské, veganské, bez lepku, bez laktózy",,,,"cokoladove-grissini, pulmesicky-vsechno-nejmilejsi, kvaskovy-chleb, boruvkovy-kolac-peceny-v-hrnku, jahlova-kase-s-granolou, nakladane-lisky, svenova-pomazanka-z-uzeneho-lososa, omeleta-bez-soli","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""300|g|sušené cizrny"",""||sťáva z 3 biocitronů"",""3||jemně nasekané stroužky česneku"",""1||svazek najemno nasekané petrželky"",""150|g|Tahini pasty"",""6|lžic|olivového oleje""]","kmin-rimsky-bio-mlety-40g, morska-sul-s-morskymi-rasami-obsahujicimi-jod-150-g",Recept,,,"[""Cizrnu nechte přes noc namočenou ve vodě. Ráno cizrnu propláchněte, dejte do hrnce s vodou a uvařte do měkka."",""Uvařenou cizrnu dejte do mixéru a společně s citronovou šťávou, česnekem, lžičkou římského kmínu, olivovým olejem a tahini pastou rozmixujte na hladký krém. Osolte a ozdobte najemno nasekanou petrželovou natí. Podávejte s pita chlebem, olivovým olejem, čerstvou zeleninou nebo olivami.""]"
fenyklovo-cockova-pomazanka,MERGE,Fenyklovo-čočková pomazánka,Sonnentor,,Zdravá a lehká pochoutka na čerstvý chlebík.,"Rychlá kuchyně, S sebou, Koření - květy, Veganské, Snídaně, Svačina, Pomazánky & dresinky",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36493/image-thumb__36493__thumb-slider/fenyklovo-cockova-pomazanka.88d37f35.jpg,Fenyklovo-čočková pomazánka,recipes,fenyklovo-cockova-pomazanka-thumb.jpg,10,2,"vegetariánské, veganské, bez lepku, bez laktózy",,,,"cokoladove-grissini, polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena, orientalni-ledovy-caj","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""100|g|vařené čočky"",""1||fenykl"",""10|g|orestovaných vlašských ořechů"",""||balzamikový ocet"",""1||sklenice hrst sušených rajčat"",""2|stroužky|česneku"",""1|hrnek|olivového oleje""]","vse-v-zelenem-salatove-koreni-bio-15g, 12bylinna-sul-bio-120g, pepr-cerny-bio-mlety-50g",Recept,,,"[""Fenykl umyjte, očistěte a nakrájejte na větší kousky."",""Vložte do mixéru, přidejte ostatní ingredience, 1 lžičku 12bylinné soli, 1 lžičku Vše v zeleném a rozmixujte na jemnou pomazánku.""]"
petrzelove-pyre-se-susenymi-hribky-a-klicky,MERGE,Petrželové pyré se sušenými hříbky a klíčky,Sonnentor,,Pravý požitek.,"Rychlá kuchyně, Léto, Jaro, zelenina, Sbohem soli / bez soli",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36496/image-thumb__36496__thumb-slider/petrzelove-pyre-se-susenymi-hribky-a-klicky.0c3751f9.jpg,Petrželové pyré se sušenými hříbky a klíčky,recipes,petrzelove-pyre-se-susenymi-hribky-a-klicky-thumb.jpg,45,2,"vegetariánské, bez lepku",,,,"polevka-z-korenove-zeleniny, lososovy-pstruh-peceny-v-troube, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, filety-ze-sivena-se-zeleninou-a-ruzovymi-poupaty, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena, orientalni-ledovy-caj","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""2|ks|brambor"",""800|g|petržele (kořen)"",""2|ks|šalotky"",""2|ks|řapíkatého zeleru"",""2|lžíce|olivového oleje"",""400|ml|mléka"",""100|ml|smetany ke šlehání"",""||klíčky""]","sbohem-soli-pikantni-bio-50g, muskatovy-orisek-bio-mlety-30g, hriby-bio-rezane-25g, pepr-cerny-bio-mlety-50g",Recept,,,"[""Lehce osolenou vodu přiveďte k varu. Brambory a petržel oloupejte, umyjte a nakrájejte na kostičky. Vhoďte do vroucí vody a vařte cca 15–20 minut. Cibuli nakrájejte nadrobno. Celer nakrájejte na menší kousky. Cibulku osmahněte, poté přidejte také celer a smažte ještě 4–5 min. V hrnci zahřejte mléko a šlehačku, poté přidejte uvařenou petržel a brambory, rozmixujte ponorným mixérem. Přidejte koření Sbohem soli! Pikantní a muškátový oříšek. Pyré servírujte v misce, ochuťte pepřem a posypte sušenými hříbky, celerem a klíčky.""]"
tofu-salat-s-klicky,MERGE,Tofu salát s klíčky,Sonnentor,,Tofu salát je skvělým letním obědem v horkých dnech. Žaludek vám za něj poděkuje!,"Rychlá kuchyně, Léto, Jaro, Vegetariánské & saláty, Sbohem soli / bez soli",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36497/image-thumb__36497__thumb-slider/tofu-salat-s-klicky.df0a15b3.jpg,Tofu salát s klíčky,recipes,tofu-salat-s-klicky-thumb.jpg,25,2,"veganské, vegetariánské, bez lepku, bez laktózy",,,,"polevka-z-korenove-zeleniny, lososovy-pstruh-peceny-v-troube, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena, orientalni-ledovy-caj, knedliky","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""250|g|uzeného tofu"",""2|lžíce|sójové omáčky"",""2|lžíce|sezamového oleje"",""3||mrkve"",""300|g|celeru"",""5|lžic|arašídového oleje"",""1|lžíce|limetové šťávy"",""0.5|lžička|cukru"",""1|hrst|slunečnicových semínek"",""0.5||máty""]","sbohem-soli-zeleninova-bio-55-g, ayurvedska-kouzelna-sul-do-mlynku-konv-150g, pepr-cerny-bio-mlety-50g, mungo-bio-120-g",Recept,,,"[""Tofu nakrájejte na tenké plátky a vyskládejte na menší plech. Ochuťte sójovou omáčkou, sezamovým olejem a kořením Sbohem soli! Zeleninová. Mrkev a celer očistěte a nakrájejte na tenké nudličky. Připravte si dresink z arašídového oleje, limetkové šťávy, cukru, soli a pepře. Na pánvi s arašídovým olejem krátce orestujte zeleninu a poté tofu. Klíčky omyjte a nechte uschnout. Na talíř servírujte zeleninu s tofu, posypte semínky a klíčky. Ozdobte koriandrem nebo mátou.""]"
kurkuma-creme-brulee,MERGE,Kurkumové crème brûlée,Sonnentor,,Nadýchané pokušení,Dezerty & sladké,REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/93507/image-thumb__93507__thumb-slider/Cr%C3%A8me-Brul%C3%A9e_hoch_6474.882877cb.jpg,Kurkumové crème brûlée,recipes,kurkuma-creme-brulee-thumb.jpg,180,5,"vegetariánské, bez lepku, bez laktózy",,,,"jablecne-cupcaky, chai-orechovy-muffin, chai-mlecna-ryze, kavovy-lanyz, kouzelna-cokoladova-pena, pernikove-muffiny, boruvkovy-kolac-peceny-v-hrnku, zariva-kurkumova-vanocka","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""20|g|čerstvého zázvoru"",""400|ml|kokosového mléka"",""2|lžíce|medu"",""4||žloutky"",""1|špetka|skořice"",""||cukru""]","vanilka-bio-mleta-10-g, kurkuma-latte-zazvor-bio-60g",Recept,,,"[""Oloupaný zázvor nastrouhejte na jemno. Přiveďte pomalu k varu kokosové mléko s čerstvým zázvorem, vanilkovým extraktem a lžičkou Kurkuma Latte zázvor. Vařte asi 10 minut na mírném ohni."",""Tekutinu přeceďte přes sítko a odstraňte tak kousky zázvoru. Na pánvi mírně zahřejte a rozpusťte med, poté rychle vmíchejte žloutky. Přidejte skořici a vše smíchejte s mléčnou směsí. Dejte směs alespoň na 2 hodiny vychladnout do ledničky."",""Směs naplňte do mističek na soufflé. Mističky umístěte na větší plech, který naplníte vodou. Pečte při 100 °C cca 30 minut."",""Jakmile hmota ztuhne, nechejte jí zchladnout na pokojovou teplotu. Posypte směs rovnoměrně cukrem a flambovací pistolí cukr zkaramelizujte. Cukr můžete také nechat zkaramelizovat v troubě.""]"
libanonsky-kolac-sfouf,MERGE,Libanonský koláč Sfouf,Sonnentor,,Tradiční libanonský koláč vás vezme na kulinářskou cestu do Orientu.,"Pečení, Čaj, S sebou, Orient",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36499/image-thumb__36499__thumb-slider/libanonsky-kolac-sfouf.55befce4.jpg,Libanonský koláč Sfouf,recipes,libanonsky-kolac-sfouf-thumb.jpg,50,3,"vegetariánské, bez lepku",,,,"cokoladove-grissini, pulmesicky-vsechno-nejmilejsi, boruvkovy-kolac-peceny-v-hrnku, nakladane-lisky, svenova-pomazanka-z-uzeneho-lososa, pernickova-granola, detox-sklenice, muffiny-dobre-nalady","Recepty, které by vám také mohly chutnat",,"[""2||poháry kukuřičné krupice"",""2||poháry mouky"",""2||poháry mléka"",""3|lžičky|prášku do pečiva"",""1.5||pohár cukru"",""1||pohár vody"",""1||pohár neutrálního oleje"",""1||vejce"",""||sezamové pasty"",""||piniové oříšky""]",kurkuma-latte-vanilka-bio-60g,Recept,,,"[""Předehřejte troubu na 200 °C, horkovzdušnou na 180 °C. Smíchejte krupici, mouku, mléko, 1,5 lžíce kurkumy latte a prášek do pečiva."",""Ve vodě rozpusťte cukr, přidejte olej, vajíčko, nalejte na suchou směs a vypracujte těsto. Pečící formu vymažte sezamovou pastou nebo olejem, rozprostřete těsto a posypte piniovými oříšky. Pečte cca 30 minut v předehřáté troubě dozlatava. Po upečení nechte vychladnout a nakrájejte na kostičky.""]"
bananovo-skoricovy-chlebicek-s-kokosovym-cukrem,MERGE,Banánovo-skořicový chlebíček,Sonnentor,,Opravdová lahůdka ke kávě či čaji!,,REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36500/image-thumb__36500__thumb-slider/bananovo-skoricovy-chlebicek-s-kokosovym-cukrem.4f10b4f5.jpg,Banánovo-skořicový chlebíček,recipes,bananovo-skoricovy-chlebicek-s-kokosovym-cukrem-thumb.jpg,70,4,vegetariánské,,,,,,Další naše produkty k receptu,"[""115|g|másla"",""2|ks|vajíček"",""80|g|pšeničné mouky"",""||cukru"",""100|g|pohankové mouky"",""1|lžička|prášku do pečiva"",""50|g|mletých vlašských ořechů"",""3||zralé babány"",""125|g|zakysané smetany"",""1.5|lžíce|lískových ořechů"",""3.5|lžíce|javorového sirupu""]","skorice-cejlon-bio-mleta-40g, ayurvedska-kouzelna-sul-jemna-konv-150g",Recept,,,"[""Předehřejte troubu na 180°C. Mezitím v míse utřete máslo (pokojové teploty) s cukrem do krémové hmoty. Postupně přidávejte vejce. V jiné míse smíchejte mouku s práškem do pečiva, 2 lžičky skořice, špetku soli a mleté ​​ořechy."",""Zralé banány rozmačkejte vidličkou. Připravenou směs mouky a vajec smíchejte dohromady a přidejte 2,5 banánu i zakysanou smetanu. Vše dobře promíchejte. Formu vyložte pečícím papírem a nalijte na něj těsto, do kterého vtlačte celé vlašské ořechy. Zbývající ½ banánu nakrájejte na kolečka a rozmístěte je podél těsta. Formu vložte do předehřáté trouby a pečte cca. 45-55 minut. Po upečení nechte chlebíček vychladnout a nakrájejte na plátky.""]"
dort-pro-maminku,MERGE,Dort pro maminku,Sonnentor,,"Skvělý recept, který udělá dojem na každou maminku!","Dezerty & sladké, Léto, Koření - květy, Rychlá kuchyně",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36501/image-thumb__36501__thumb-slider/dort-pro-maminku.c6c34ac3.jpg,Dort pro maminku,recipes,dort-pro-maminku-thumb.jpg,45,1,vegetariánské,,,,"cokoladove-grissini, jablecne-cupcaky, polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, lososovy-pstruh-peceny-v-troube, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-orechovy-muffin, chai-mlecna-ryze","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""||Keksy Dobrá nálada"",""80|g|másla"",""200|ml|šlehačky"",""500|g|nízkotučného tvarohu"",""0.5|balení|agaru"",""||kůra z jednoho citronu (strouhaná)"",""||cukru"",""150|g|čerstvých jahod"",""||Keksy Dobrá nálada""]",,Recept,,,"[""Korpus: keksy dejte do sáčku a válečkem na těsto rozválejte najemno. V hrnci rozpusťte máslo, přidejte rozdrcené keksy a promíchejte. Dortovou formu vyložte pečicím papírem a naplňte sušenkovou hmotou, řádně upěchujte a dejte do lednice na 30 minut až hodinu ztuhnout."",""Náplň: v misce vyšlehejte smetanu, přidejte tvaroh, 4 lžíce cukru a kůru z limety. V hrnci zahřejte 100 ml vody a rozpusťte v něm agar. Nechte zchladnout a smíchejte se smetanovou směsí. Připravenou hmotu rozetřete na korpus a dejte odležet do lednice min. na 6 hodin, nejlépe přes noc. Podávejte ozdobené čerstvým ovocem a keksy.""]"
cokoladove-chai-keksy,MERGE,Čokoládové chai keksy,Sonnentor,,Voňavé sušenky ke kávě.,"Zima, Vánoce, Jednohubky, Svačina, Dezerty & sladké, Pečení",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36502/image-thumb__36502__thumb-slider/cokoladove-chai-keksy.967eed8f.jpg,Čokoládové chai keksy,recipes,cokoladove-chai-keksy-thumb.jpg,150,1,vegetariánské,,,,"cokoladove-grissini, jablecne-cupcaky, peceny-kapri-filet-v-makovem-obalu, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz, kouzelna-cokoladova-pena","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""200|g|másla"",""100|g|cukru (práškového)"",""1||vejce"",""300|g|mouky"",""2|lžíce|kakaa"",""50|g|cukru""]","ayurvedska-kouzelna-sul-jemna-konv-150g, chai-polibek-orientu-bio-70g",Recept,,,"[""Ze všech přísad na prkýnku vypracujte těsto a nechte 2 hodiny odpočinout v lednici. Rozehřejte si troubu na 200 °C. Těsto rozdělte na tři části, vytvarujte válce. Každý válec nakrájejte na cca 5 mm kousky a ukládejte a plech vyložený pečicím papírem. Pečte cca 10–15 minut. Ještě teplé keksy obalte ve směsi cukru.""]"
susenky-sv-hildegardy,MERGE,Sušenky sv. Hildegardy,Sonnentor,,"Úžasné kořeněné sušenky, které jsou oblíbené u malých i velkých.","Pečení, Dezerty & sladké, Děti, Sv. Hildegarda z Bingenu, Zima, Vánoce",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/36503/image-thumb__36503__thumb-slider/susenky-sv.-hildegardy.3076694d.jpg,Sušenky sv. Hildegardy,recipes,susenky-sv-hildegardy-thumb.jpg,35,1,vegetariánské,,,,"cokoladove-grissini, jablecne-cupcaky, peceny-kapri-filet-v-makovem-obalu, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz, kouzelna-cokoladova-pena","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""100|g|cukru"",""100|g|másla"",""1||vejce"",""200|g|špaldové mouky"",""1|lžička|prášku do pečiva"",""100|g|nasekaných mandlí"",""||Koření na koláče a keksy""]",ayurvedska-kouzelna-sul-jemna-konv-150g,Recept,,,"[""Vymíchejte máslo, cukr a vejce, pak přidejte mouku, sůl, prášek do pečiva, mandle a koření, přidejte špetku soli a 2 lžičky Koření na koláče a keksy, vypracujte těsto."",""Za pomoci lžíce tvarujte na plech malé placky a pečte při 160 °C cca 20 minut.""]"
